Tract_ID,P2010,None,Baseline_only,Baseline,Elev,LC,RZ,Soil,SPI,Tree,Static,Static_reduced,Dynamic,Dynamic_reduced,Full,Full_reduced
48249950400,3770,0.163883236,0.163883236,0.163883236,0.204961905,0.287234597,0.108293195,0.205415841,0.333134407,0.367256492,0.383787214,0.393304439,0.39197457,0.264890663,0.49435158,0.411787457
48249950500,6213,0.420042279,0.420042279,0.420042279,0.200079106,0.349609468,0.220765565,0.270221147,0.33760058,0.334329413,0.323489785,0.334724628,0.382121573,0.315920473,0.46592558,0.37946588
48249950600,4080,0.32750973,0.32750973,0.32750973,0.243006077,0.395706884,0.294064633,0.273651333,0.34487097,0.380030838,0.361024059,0.404990425,0.390463967,0.319081727,0.502133137,0.40859375
48249950700,3647,0.252472013,0.252472013,0.252472013,0.08633705,0.223061723,0.144212592,0.234370533,0.133232823,0.315349955,0.323722728,0.233897307,0.16044091,0.192154577,0.330636087,0.280628617
48255970100,2214,0.178368539,0.178368539,0.178368539,0.265986237,0.3100239,0.182740111,0.155253423,0.223177483,0.365848654,0.414215091,0.400611,0.239491553,0.23564458,0.403496933,0.40107407
48255970200,3899,0.13047463,0,0.13047463,0.266292431,0.34255732,0.149300566,0.143145077,0.267994407,0.358226448,0.420618511,0.382450056,0.285169007,0.209993513,0.40661372,0.36429018
48255970300,7281,0.239330849,0.239330849,0.239330849,0.240186938,0.31108443,0.202401922,0.30037247,0.286220657,0.389706591,0.429481368,0.418869086,0.308508927,0.33792559,0.42028821,0.398994487
48255970400,1430,0.294561492,0.294561492,0.294561492,0.277779776,0.302431986,0.235650712,0.24396766,0.255937577,0.375074564,0.399984522,0.40591767,0.296785103,0.27550843,0.37990134,0.382944487
48259970401,6101,0.054796036,0.054796036,0,0,0,0,0,0,0,0,0,0,0,0,0
48259970402,6332,0.057371767,0.057371767,0,0,0,0,0,0,0,0,0,0,0,0,0
48259970500,5560,0.0894633,0.0894633,0,0,0,0,0,0,0,0,0,0,0,0,0
48261950100,416,0.160531505,0.160531505,0.160531505,0.09147746,0.269601882,0.18566906,0.095707717,0.101329628,0.260696698,0.320331852,0.314522041,0.113944433,0.112290433,0.301179093,0.295227507
48273020100,5602,0.255674652,0.255674652,0.255674652,0.123024055,0.267346889,0.175428226,0.2745949,0.17197417,0.356959735,0.375866447,0.326865929,0.23176107,0.221554227,0.378468557,0.358893517
48273020200,5968,0.104783408,0.104783408,0.104783408,0.090826634,0.232551995,0.203625077,0.14892764,0.303465923,0.33296835,0.434649841,0.406767191,0.263004193,0.23754076,0.47938001,0.4286997
48273020300,7271,0.141924528,0.141924528,0.141924528,0.169303889,0.300879161,0.181554766,0.15152836,0.34945755,0.39934671,0.433266572,0.4320663,0.30222098,0.26981207,0.498932007,0.469814587
48273020400,6547,0.288745483,0.288745483,0.288745483,0.120765966,0.400973405,0.214402384,0.24850801,0.277317023,0.306534239,0.407677368,0.383635821,0.281831567,0.300483787,0.483789317,0.421656173
48273020500,6673,0.230245576,0.230245576,0.230245576,0.109444542,0.329177757,0.231493285,0.150552973,0.316028313,0.326288652,0.422294759,0.415325071,0.273275117,0.246713873,0.47399753,0.439198837
48283950300,6886,0.044969164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48285000100,3431,0.121720247,0,0.121720247,0.202864755,0.186760029,0.140689734,0.234878823,0.188537657,0.341836791,0.273451545,0.278080567,0.23760495,0.22698233,0.329746863,0.30139161
